,AUROC,AUPR-IN,AUPR-OUT,FPR95TPR,Method,Dataset,Seed
0,0.9331995248794556,0.993092954158783,0.891242504119873,0.11124999821186066,LogicOOD,FoolingImages,0
1,0.9490753412246704,0.995863676071167,0.9367371201515198,0.09875000268220901,LogicOOD+,FoolingImages,0
2,0.8008249998092651,0.9833269715309143,0.5512692332267761,1.0,Logic,FoolingImages,0
3,0.9387249946594238,0.9951047301292419,0.8301948308944702,0.09875000268220901,Logic+,FoolingImages,0
4,0.9773755073547363,0.9976488351821899,0.9227151870727539,0.07500000298023224,Ensemble,FoolingImages,0
5,0.9960309863090515,0.9996733665466309,0.9663951396942139,0.017500000074505806,ReAct,FoolingImages,0
6,0.9709068536758423,0.9973558783531189,0.8282809853553772,0.14624999463558197,MSP,FoolingImages,0
7,0.9905977845191956,0.9992186427116394,0.9215142130851746,0.03999999910593033,Energy,FoolingImages,0
8,0.9998688697814941,0.9999894499778748,0.9988007545471191,0.0012499999720603228,Mahalanobis,FoolingImages,0
9,0.9998592734336853,0.9999886155128479,0.9985507726669312,0.0,ViM,FoolingImages,0
10,0.9825975894927979,0.9985195994377136,0.8681613802909851,0.07999999821186066,Entropy,FoolingImages,0
11,0.9878736734390259,0.9989614486694336,0.9128826856613159,0.05249999836087227,MaxLogit,FoolingImages,0
12,0.9299138784408569,0.986587643623352,0.9029091596603394,0.11249999701976776,LogicOOD,Textures,0
13,0.9466186165809631,0.9920945167541504,0.9319182634353638,0.09875000268220901,LogicOOD+,Textures,0
14,0.7707491517066956,0.966950535774231,0.5878494381904602,1.0,Logic,Textures,0
15,0.9200398921966553,0.9888503551483154,0.7949386835098267,1.0,Logic+,Textures,0
16,0.9837273359298706,0.9972272515296936,0.9471509456634521,0.07000000029802322,Ensemble,Textures,0
17,0.9971300363540649,0.9995892643928528,0.982555091381073,0.012500000186264515,ReAct,Textures,0
18,0.9772965908050537,0.996385931968689,0.9003636240959167,0.10875000059604645,MSP,Textures,0
19,0.9927504658699036,0.9989498853683472,0.9573466181755066,0.03125,Energy,Textures,0
20,0.9966145157814026,0.9995089769363403,0.9812251329421997,0.017500000074505806,Mahalanobis,Textures,0
21,0.9988282918930054,0.9998281002044678,0.9940003156661987,0.007499999832361937,ViM,Textures,0
22,0.9868786334991455,0.9980547428131104,0.9284142255783081,0.05624999850988388,Entropy,Textures,0
23,0.9905763864517212,0.9985939860343933,0.951076328754425,0.038750000298023224,MaxLogit,Textures,0
24,0.9284490942955017,0.9643815159797668,0.9262445569038391,0.12999999523162842,LogicOOD,ImageNetO,0
25,0.9484512805938721,0.9796398282051086,0.9588959217071533,0.09875000268220901,LogicOOD+,ImageNetO,0
26,0.7903749942779541,0.926745593547821,0.7294164299964905,1.0,Logic,ImageNetO,0
27,0.9361249804496765,0.9763123393058777,0.9275048971176147,0.09875000268220901,Logic+,ImageNetO,0
28,0.966949462890625,0.9820670485496521,0.9517294764518738,0.10499999672174454,Ensemble,ImageNetO,0
29,0.9950287938117981,0.9979205131530762,0.9896981120109558,0.027499999850988388,ReAct,ImageNetO,0
30,0.9661912322044373,0.9838159084320068,0.9410632252693176,0.14875000715255737,MSP,ImageNetO,0
31,0.9866794347763062,0.9942554235458374,0.9735252857208252,0.05874999985098839,Energy,ImageNetO,0
32,0.9976730942726135,0.9990374445915222,0.9949837327003479,0.012500000186264515,Mahalanobis,ImageNetO,0
33,0.999672532081604,0.9998676180839539,0.9992327690124512,0.0024999999441206455,ViM,ImageNetO,0
34,0.9794925451278687,0.9908127784729004,0.9617064595222473,0.0949999988079071,Entropy,ImageNetO,0
35,0.9839432239532471,0.9927836656570435,0.9701866507530212,0.06750000268220901,MaxLogit,ImageNetO,0
36,0.9258573651313782,0.9974139332771301,0.7450050115585327,0.13500000536441803,LogicOOD,ImageNetR,0
37,0.9452836513519287,0.9984884858131409,0.8048347234725952,0.09875000268220901,LogicOOD+,ImageNetR,0
38,0.7879917025566101,0.993831992149353,0.48630961775779724,1.0,Logic,ImageNetR,0
39,0.9299583435058594,0.9980934858322144,0.6357423067092896,0.09875000268220901,Logic+,ImageNetR,0
40,0.9606174826622009,0.9985309839248657,0.7566399574279785,0.11874999850988388,Ensemble,ImageNetR,0
41,0.9855934381484985,0.9995827674865723,0.7974063158035278,0.07124999910593033,ReAct,ImageNetR,0
42,0.9483379125595093,0.9983057379722595,0.5627772212028503,0.23624999821186066,MSP,ImageNetR,0
43,0.9756212830543518,0.9992743134498596,0.6870899200439453,0.11500000208616257,Energy,ImageNetR,0
44,0.9886712431907654,0.9996644854545593,0.8562735319137573,0.05249999836087227,Mahalanobis,ImageNetR,0
45,0.9970864057540894,0.9999200105667114,0.9355185031890869,0.008750000037252903,ViM,ImageNetR,0
46,0.9639505743980408,0.9989013671875,0.5941663384437561,0.17624999582767487,Entropy,ImageNetR,0
47,0.9720792770385742,0.9991416931152344,0.6793279051780701,0.12125000357627869,MaxLogit,ImageNetR,0
48,0.9120866060256958,0.986931324005127,0.8018385171890259,0.1862500011920929,LogicOOD,ImageNetA,0
49,0.9366195797920227,0.992576539516449,0.8503623008728027,0.13124999403953552,LogicOOD+,ImageNetA,0
50,0.7314946055412292,0.9695819616317749,0.5455910563468933,1.0,Logic,ImageNetA,0
51,0.8887521028518677,0.9880596399307251,0.6744142174720764,1.0,Logic+,ImageNetA,0
52,0.949139416217804,0.9926465153694153,0.8201392889022827,0.17499999701976776,Ensemble,ImageNetA,0
53,0.9803049564361572,0.997613251209259,0.9069006443023682,0.09000000357627869,ReAct,ImageNetA,0
