,AUROC,AUPR-IN,AUPR-OUT,FPR95TPR,Method,Dataset,Seed
0,0.9276328682899475,0.9922433495521545,0.8663859963417053,0.12999999523162842,LogicOOD,FoolingImages,0
1,0.9489375948905945,0.9958614706993103,0.9341825842857361,0.09875000268220901,LogicOOD+,FoolingImages,0
2,0.9233040809631348,0.991890013217926,0.8328914642333984,0.17000000178813934,T-LogicOOD,FoolingImages,0
3,0.9486074447631836,0.9958359599113464,0.9292107820510864,0.09875000268220901,T-LogicOOD+,FoolingImages,0
4,0.7744000554084778,0.9809376001358032,0.5396227836608887,1.0,Logic,FoolingImages,0
5,0.9397749900817871,0.9951909780502319,0.8386107683181763,0.09875000268220901,Logic+,FoolingImages,0
6,0.9696230888366699,0.9964138865470886,0.893399715423584,0.10125000029802322,Ensemble,FoolingImages,0
7,0.993503749370575,0.9994330406188965,0.9565711617469788,0.03375000134110451,ReAct,FoolingImages,0
8,0.9447782039642334,0.9943764209747314,0.7685204744338989,0.23499999940395355,MSP,FoolingImages,0
9,0.9770885705947876,0.9979166388511658,0.8597474694252014,0.11375000327825546,Energy,FoolingImages,0
10,0.9999091029167175,0.9999926686286926,0.9991080164909363,0.0,Mahalanobis,FoolingImages,0
11,0.9999345541000366,0.999994695186615,0.9993646740913391,0.0,ViM,FoolingImages,0
12,0.9634610414505005,0.996522068977356,0.8078908324241638,0.16875000298023224,Entropy,FoolingImages,0
13,0.9731666445732117,0.997442364692688,0.8543455004692078,0.1287499964237213,MaxLogit,FoolingImages,0
14,0.9289930462837219,0.986487627029419,0.8948867917060852,0.1237500011920929,LogicOOD,Textures,0
15,0.9467660784721375,0.9921548366546631,0.9317669868469238,0.09875000268220901,LogicOOD+,Textures,0
16,0.9258294105529785,0.9860389232635498,0.8767536282539368,0.14000000059604645,T-LogicOOD,Textures,0
17,0.9459860920906067,0.9920492768287659,0.9254413843154907,0.09875000268220901,T-LogicOOD+,Textures,0
18,0.7713741660118103,0.967083215713501,0.5885308384895325,1.0,Logic,Textures,0
19,0.9226108193397522,0.9892092347145081,0.8043959736824036,1.0,Logic+,Textures,0
20,0.9782774448394775,0.9957632422447205,0.935608983039856,0.08375000208616257,Ensemble,Textures,0
21,0.9960037469863892,0.999416172504425,0.9773015975952148,0.011250000447034836,ReAct,Textures,0
22,0.9619233012199402,0.9936149716377258,0.8585542440414429,0.18000000715255737,MSP,Textures,0
23,0.9874866008758545,0.9981252551078796,0.932801365852356,0.07000000029802322,Energy,Textures,0
24,0.9961967468261719,0.9994406700134277,0.9807578325271606,0.019999999552965164,Mahalanobis,Textures,0
25,0.9987654089927673,0.9998127222061157,0.9941861629486084,0.004999999888241291,ViM,Textures,0
26,0.9770057797431946,0.9964175820350647,0.8932006359100342,0.11500000208616257,Entropy,Textures,0
27,0.9841892719268799,0.9975195527076721,0.9248992800712585,0.07625000178813934,MaxLogit,Textures,0
28,0.923212468624115,0.9611164927482605,0.9152256846427917,0.14624999463558197,LogicOOD,ImageNetO,0
29,0.9479800462722778,0.9794148206710815,0.9575056433677673,0.09875000268220901,LogicOOD+,ImageNetO,0
30,0.9183927774429321,0.9593812227249146,0.903078019618988,0.1850000023841858,T-LogicOOD,ImageNetO,0
31,0.9475919008255005,0.9792835712432861,0.9562411308288574,0.09875000268220901,T-LogicOOD+,ImageNetO,0
32,0.7715000510215759,0.919945240020752,0.7156990170478821,1.0,Logic,ImageNetO,0
33,0.934624969959259,0.9758255481719971,0.9239677786827087,0.09875000268220901,Logic+,ImageNetO,0
34,0.962932825088501,0.9784256815910339,0.9420152902603149,0.1262499988079071,Ensemble,ImageNetO,0
35,0.9923169612884521,0.9967601895332336,0.9839889407157898,0.042500000447034836,ReAct,ImageNetO,0
36,0.9442794322967529,0.9728641510009766,0.904236912727356,0.23000000417232513,MSP,ImageNetO,0
37,0.9764500260353088,0.9897726774215698,0.9508428573608398,0.11375000327825546,Energy,ImageNetO,0
38,0.9968600273132324,0.9986885786056519,0.9933754205703735,0.017500000074505806,Mahalanobis,ImageNetO,0
39,0.9994662404060364,0.9997724294662476,0.998925507068634,0.0012499999720603228,ViM,ImageNetO,0
40,0.9626449346542358,0.982938826084137,0.9287578463554382,0.1574999988079071,Entropy,ImageNetO,0
41,0.9724693894386292,0.9874119162559509,0.9460358619689941,0.1274999976158142,MaxLogit,ImageNetO,0
42,0.9209361672401428,0.9971364140510559,0.716437578201294,0.15000000596046448,LogicOOD,ImageNetR,0
43,0.944034218788147,0.9984391331672668,0.7841575741767883,0.10000000149011612,LogicOOD+,ImageNetR,0
44,0.9145405292510986,0.9969554543495178,0.6522629261016846,0.2162500023841858,T-LogicOOD,ImageNetR,0
45,0.9426581263542175,0.9984025359153748,0.7404158115386963,0.10125000029802322,T-LogicOOD+,ImageNetR,0
46,0.761483371257782,0.9929845333099365,0.48233121633529663,1.0,Logic,ImageNetR,0
47,0.9243916869163513,0.9979329109191895,0.6089881062507629,1.0,Logic+,ImageNetR,0
48,0.9620970487594604,0.9985613822937012,0.7295668125152588,0.13750000298023224,Ensemble,ImageNetR,0
49,0.984690248966217,0.9995516538619995,0.799906313419342,0.09000000357627869,ReAct,ImageNetR,0
50,0.9352673292160034,0.9977530241012573,0.5791601538658142,0.26875001192092896,MSP,ImageNetR,0
51,0.970007598400116,0.9990754723548889,0.6726227402687073,0.14749999344348907,Energy,ImageNetR,0
52,0.9882609844207764,0.999646782875061,0.8678879737854004,0.05249999836087227,Mahalanobis,ImageNetR,0
